Time,TimeStamp, AccX, AccY, AccZ, GyrX, GyrY, GyrZ, MagX, MagY, MagZ, Roll, Pitch, Yaw, Qw, Qx, Qy, Qz
16-41-01.805,16303, -0.397, 0.004, 0.400, 788.51, -403.29, -361.54, -37.017, 3.767, -34.225, 44.17, -33.71, 12.31, 0.870, 0.387, -0.228, 0.203
16-41-01.811,16308, -0.428, -0.071, 0.128, 840.94, -416.54, -343.11, -37.017, 3.767, -34.225, 50.14, -33.78, 9.10, 0.854, 0.425, -0.230, 0.191
16-41-01.815,16313, -0.413, -0.143, -0.154, 877.99, -426.91, -325.04, -37.017, 3.767, -34.225, 56.33, -33.70, 5.86, 0.836, 0.464, -0.232, 0.180
16-41-01.821,16318, -0.426, -0.223, -0.346, 907.89, -429.72, -305.39, -37.017, 3.767, -34.225, 62.66, -33.45, 2.69, 0.814, 0.504, -0.234, 0.169
16-41-01.825,16323, -0.335, -0.319, -0.584, 932.00, -426.24, -279.69, -37.017, 3.767, -34.225, 69.04, -33.05, -0.36, 0.790, 0.543, -0.236, 0.159
16-41-01.831,16328, -0.323, -0.658, -0.868, 939.94, -412.33, -252.72, -37.017, 3.767, -34.225, 75.33, -32.50, -3.19, 0.764, 0.580, -0.238, 0.150
16-41-01.835,16333, -0.311, -0.903, -1.027, 924.13, -384.74, -240.08, -37.017, 3.767, -34.225, 81.36, -31.73, -5.74, 0.737, 0.616, -0.238, 0.141
16-41-01.841,16338, -0.226, -0.989, -1.103, 898.37, -352.45, -242.28, -37.017, 3.767, -34.225, 87.07, -30.73, -7.98, 0.710, 0.649, -0.238, 0.133
16-41-01.845,16343, -0.108, -1.103, -1.127, 871.15, -319.67, -249.42, -37.017, 3.767, -34.225, 92.45, -29.52, -9.88, 0.682, 0.680, -0.236, 0.126
16-41-01.851,16348, -0.074, -1.221, -1.039, 841.24, -286.78, -256.44, -37.017, 3.767, -34.225, 97.47, -28.15, -11.42, 0.655, 0.710, -0.232, 0.118
16-41-01.855,16353, -0.057, -1.344, -0.989, 814.20, -260.84, -264.86, -37.017, 3.767, -34.225, 102.17, -26.65, -12.66, 0.627, 0.737, -0.227, 0.111
16-41-01.861,16358, -0.082, -1.360, -1.069, 788.94, -250.40, -279.63, -37.017, 3.767, -34.225, 106.63, -25.00, -13.66, 0.600, 0.762, -0.221, 0.103
16-41-01.865,16363, -0.185, -1.258, -1.296, 759.94, -254.18, -302.15, -37.017, 3.767, -34.225, 110.86, -23.17, -14.49, 0.572, 0.786, -0.215, 0.094
16-41-01.871,16368, -0.259, -1.039, -1.510, 727.23, -267.00, -328.89, -37.017, 3.767, -34.225, 114.84, -21.13, -15.17, 0.545, 0.808, -0.207, 0.083
16-41-01.875,16373, -0.297, -0.723, -1.816, 693.78, -282.08, -355.87, -37.017, 3.767, -34.225, 118.59, -18.89, -15.69, 0.518, 0.829, -0.199, 0.071
16-41-01.881,16378, -0.274, -0.397, -2.246, 637.75, -283.17, -384.31, -37.017, 3.767, -34.225, 121.96, -16.49, -15.99, 0.493, 0.847, -0.189, 0.057
16-41-01.885,16383, -0.261, 0.155, -2.431, 552.30, -254.12, -408.11, -37.017, 3.767, -34.225, 124.79, -14.07, -15.95, 0.471, 0.863, -0.178, 0.044
16-41-01.891,16388, -0.202, 0.478, -2.424, 463.80, -196.81, -415.01, -37.017, 3.767, -34.225, 127.08, -11.78, -15.53, 0.452, 0.876, -0.166, 0.031
16-41-01.895,16393, -0.136, 0.708, -2.210, 375.36, -127.35, -404.63, -37.017, 3.767, -34.225, 128.88, -9.78, -14.79, 0.436, 0.887, -0.152, 0.021
16-41-01.901,16398, -0.104, 0.735, -1.856, 281.98, -60.27, -385.89, -37.017, 3.767, -34.225, 130.18, -8.08, -13.79, 0.425, 0.895, -0.138, 0.013
16-41-01.905,16403, -0.107, 0.611, -1.449, 182.98, -4.24, -370.57, -37.017, 3.767, -34.225, 130.99, -6.64, -12.59, 0.417, 0.900, -0.124, 0.007
16-41-01.911,16408, -0.090, 0.500, -1.113, 96.49, 31.40, -362.64, -37.017, 3.767, -34.225, 131.37, -5.36, -11.28, 0.413, 0.904, -0.109, 0.002
16-41-01.915,16413, -0.149, 0.572, -0.888, 39.55, 43.12, -360.81, -37.017, 3.767, -34.225, 131.49, -4.13, -9.92, 0.412, 0.906, -0.094, -0.003
16-41-01.921,16418, -0.096, 0.556, -0.751, -17.77, 38.91, -363.31, -37.017, 3.767, -34.225, 131.34, -2.88, -8.57, 0.412, 0.908, -0.078, -0.008
16-41-01.925,16423, -0.079, 0.464, -0.689, -74.59, 30.91, -366.73, -37.017, 3.767, -34.225, 130.94, -1.59, -7.25, 0.415, 0.907, -0.063, -0.014
16-41-01.931,16428, -0.011, 0.466, -0.554, -115.67, 27.80, -365.75, -37.017, 3.767, -34.225, 130.36, -0.29, -5.95, 0.419, 0.906, -0.048, -0.020
16-41-01.935,16433, -0.063, 0.272, -0.300, -136.17, 33.41, -358.12, -37.017, 3.767, -34.225, 129.70, 0.99, -4.67, 0.424, 0.905, -0.033, -0.025
16-41-01.941,16438, -0.140, 0.228, -0.009, -154.00, 43.61, -349.21, -37.017, 3.767, -34.225, 128.91, 2.26, -3.40, 0.430, 0.902, -0.018, -0.031
16-41-01.945,16443, -0.313, -0.165, 0.160, -180.18, 46.78, -346.65, -37.017, 3.767, -34.225, 128.07, 3.55, -2.14, 0.437, 0.899, -0.003, -0.036
16-41-01.951,16448, -0.519, -0.102, 0.341, -199.47, 32.62, -353.42, -37.017, 3.767, -34.225, 127.12, 4.94, -0.93, 0.444, 0.895, 0.012, -0.042
16-41-01.955,16453, -0.714, -0.105, 0.350, -187.14, -3.82, -366.24, -37.017, 3.767, -34.225, 126.27, 6.52, 0.15, 0.451, 0.891, 0.027, -0.050
16-41-01.961,16458, -1.040, 0.090, 0.237, -169.87, -54.41, -390.35, -37.017, 3.767, -34.225, 125.51, 8.36, 1.08, 0.457, 0.886, 0.042, -0.060
16-41-01.965,16463, -1.358, 0.502, -0.033, -168.52, -110.02, -433.32, -37.017, 3.767, -34.225, 124.78, 10.53, 1.89, 0.463, 0.882, 0.057, -0.074
16-41-01.971,16468, -1.414, 0.881, -0.297, -190.92, -166.41, -491.55, -37.017, 3.767, -34.225, 123.96, 13.10, 2.60, 0.469, 0.876, 0.073, -0.090
16-41-01.975,16473, -1.365, 2.560, -0.899, -239.08, -201.14, -542.39, -37.017, 3.767, -34.225, 122.91, 15.94, 3.27, 0.477, 0.868, 0.091, -0.108
16-41-01.981,16478, -1.237, 3.037, -1.023, -315.43, -181.73, -535.80, -37.017, 3.767, -34.225, 121.52, 18.70, 3.95, 0.487, 0.858, 0.109, -0.125
16-41-01.985,16483, -1.090, 3.346, -0.660, -408.76, -107.58, -479.34, -37.017, 3.767, -34.225, 119.71, 21.03, 4.75, 0.500, 0.846, 0.127, -0.137
16-41-01.991,16488, -1.071, 3.740, 0.335, -495.43, -9.43, -406.89, -37.017, 3.767, -34.225, 117.55, 22.83, 5.73, 0.516, 0.832, 0.144, -0.144
16-41-01.995,16493, -0.785, 3.472, 1.590, -580.63, 64.24, -330.96, -37.017, 3.767, -34.225, 115.01, 24.16, 6.81, 0.535, 0.817, 0.161, -0.145
16-41-02.001,16498, -0.784, 3.194, 2.030, -651.86, 74.00, -256.99, -37.017, 3.767, -34.225, 112.05, 25.19, 7.71, 0.556, 0.799, 0.176, -0.144
16-41-02.007,16503, -0.893, 2.660, 2.008, -701.48, 24.56, -202.48, -37.017, 3.767, -34.225, 108.68, 26.09, 8.19, 0.580, 0.780, 0.188, -0.142
16-41-02.011,16508, -0.761, 2.131, 1.567, -740.97, -65.52, -167.08, -37.017, 3.767, -34.225, 104.85, 26.98, 8.07, 0.605, 0.759, 0.196, -0.143
16-41-02.015,16513, -0.792, 1.509, 0.916, -768.07, -163.06, -142.91, -37.017, 3.767, -34.225, 100.61, 27.87, 7.32, 0.630, 0.735, 0.201, -0.145
16-41-02.021,16518, -0.696, 1.027, 0.305, -791.94, -238.50, -132.35, -37.017, 3.767, -34.225, 96.03, 28.70, 6.07, 0.657, 0.710, 0.204, -0.150
16-41-02.025,16523, -0.442, 0.593, -0.419, -803.90, -276.46, -139.80, -37.017, 3.767, -34.225, 91.32, 29.50, 4.57, 0.683, 0.684, 0.205, -0.155
16-41-02.031,16528, -0.407, 0.657, -0.703, -801.52, -261.14, -167.33, -37.017, 3.767, -34.225, 86.64, 30.32, 3.09, 0.707, 0.657, 0.208, -0.160
16-41-02.036,16533, -0.362, 0.444, -0.628, -787.66, -202.73, -202.24, -37.017, 3.767, -34.225, 82.14, 31.24, 1.85, 0.729, 0.629, 0.213, -0.165
16-41-02.040,16538, -0.398, 0.532, -0.144, -755.44, -131.56, -232.33, -37.017, 3.767, -34.225, 77.88, 32.28, 0.88, 0.748, 0.602, 0.221, -0.169
16-41-02.046,16543, -0.568, 0.437, 0.337, -715.34, -82.19, -265.47, -37.017, 3.767, -34.225, 73.81, 33.49, 0.00, 0.766, 0.575, 0.230, -0.173
16-41-02.052,16548, -0.570, 0.680, 0.605, -669.93, -74.80, -291.53, -37.017, 3.767, -34.225, 69.87, 34.76, -1.00, 0.781, 0.549, 0.240, -0.178
16-41-02.056,16553, -0.622, 0.487, 0.664, -608.16, -98.36, -302.28, -37.017, 3.767, -34.225, 66.05, 35.98, -2.28, 0.794, 0.523, 0.249, -0.184
16-41-02.062,16558, -0.733, 0.503, 0.674, -560.43, -126.86, -311.25, -37.017, 3.767, -34.225, 62.28, 37.12, -3.86, 0.805, 0.499, 0.256, -0.192
16-41-02.066,16563, -0.790, 0.639, 0.716, -524.97, -143.10, -324.62, -37.017, 3.767, -34.225, 58.53, 38.18, -5.68, 0.815, 0.476, 0.262, -0.201
16-41-02.072,16568, -0.775, 0.758, 0.947, -501.41, -140.05, -336.09, -37.017, 3.767, -34.225, 54.78, 39.19, -7.63, 0.824, 0.452, 0.268, -0.210
16-41-02.076,16573, -0.811, 0.925, 1.312, -492.99, -116.61, -341.34, -37.017, 3.767, -34.225, 51.04, 40.18, -9.59, 0.832, 0.429, 0.275, -0.218
16-41-02.082,16578, -0.908, 1.106, 1.809, -497.20, -87.68, -341.58, -37.017, 3.767, -34.225, 47.28, 41.16, -11.53, 0.839, 0.406, 0.283, -0.226
16-41-02.086,16583, -1.048, 1.146, 2.342, -498.30, -78.16, -335.60, -37.017, 3.767, -34.225, 43.45, 42.04, -13.50, 0.846, 0.382, 0.290, -0.234
16-41-02.092,16588, -1.048, 1.296, 3.096, -484.32, -112.95, -322.91, -37.017, 3.767, -34.225, 39.55, 42.65, -15.67, 0.852, 0.359, 0.296, -0.241
16-41-02.096,16593, -1.086, 1.147, 3.085, -486.88, -195.96, -312.23, -37.017, 3.767, -34.225, 35.38, 42.78, -18.19, 0.858, 0.334, 0.298, -0.250
16-41-02.101,16598, -1.080, 1.403, 2.528, -523.99, -292.88, -312.47, -37.017, 3.767, -34.225, 30.82, 42.37, -21.06, 0.866, 0.307, 0.297, -0.259
16-41-02.105,16603, -1.068, 1.614, 1.926, -563.85, -367.59, -314.85, -37.017, 3.767, -34.225, 26.00, 41.47, -24.08, 0.875, 0.278, 0.294, -0.268
16-41-02.111,16608, -1.118, 1.746, 1.415, -593.02, -406.95, -305.82, -37.017, 3.767, -34.225, 21.18, 40.20, -26.96, 0.883, 0.247, 0.288, -0.277
16-41-02.115,16613, -0.922, 1.646, 1.145, -611.58, -416.60, -284.27, -37.017, 3.767, -34.225, 16.54, 38.67, -29.53, 0.891, 0.215, 0.282, -0.284
16-41-02.121,16618, -0.869, 1.441, 1.035, -629.09, -396.64, -261.20, -37.017, 3.767, -34.225, 12.11, 37.07, -31.70, 0.898, 0.183, 0.277, -0.290
16-41-02.125,16623, -1.003, 1.460, 1.010, -651.07, -361.24, -250.09, -37.017, 3.767, -34.225, 7.80, 35.51, -33.57, 0.904, 0.150, 0.273, -0.294
16-41-02.131,16628, -0.866, 1.639, 0.862, -679.02, -341.10, -248.69, -37.017, 3.767, -34.225, 3.53, 33.95, -35.23, 0.908, 0.116, 0.269, -0.298
16-41-02.135,16633, -0.745, 1.786, 0.765, -710.58, -333.77, -247.22, -37.017, 3.767, -34.225, -0.75, 32.32, -36.69, 0.912, 0.082, 0.266, -0.301
16-41-02.141,16638, -0.660, 1.766, 0.844, -738.83, -318.58, -233.98, -37.017, 3.767, -34.225, -5.01, 30.68, -37.91, 0.915, 0.046, 0.264, -0.302
16-41-02.145,16643, -0.641, 1.540, 1.133, -750.13, -291.78, -204.38, -37.017, 3.767, -34.225, -9.14, 29.11, -38.82, 0.917, 0.011, 0.262, -0.302
16-41-02.151,16648, -0.680, 1.143, 1.286, -760.56, -266.94, -170.38, -37.017, 3.767, -34.225, -13.16, 27.64, -39.44, 0.917, -0.025, 0.261, -0.300
16-41-02.155,16653, -0.615, 1.030, 1.315, -767.89, -261.93, -146.76, -37.017, 3.767, -34.225, -17.10, 26.20, -39.81, 0.917, -0.060, 0.260, -0.296
16-41-02.161,16658, -0.583, 0.826, 1.233, -777.78, -275.91, -139.98, -37.017, 3.767, -34.225, -21.00, 24.68, -40.00, 0.916, -0.095, 0.258, -0.292
16-41-02.165,16663, -0.558, 0.954, 1.103, -784.73, -295.81, -142.73, -37.017, 3.767, -34.225, -24.86, 23.05, -40.05, 0.914, -0.131, 0.256, -0.287
16-41-02.171,16668, -0.474, 0.974, 0.902, -787.79, -314.12, -148.47, -37.017, 3.767, -34.225, -28.68, 21.34, -39.97, 0.910, -0.167, 0.252, -0.282
16-41-02.175,16673, -0.390, 1.042, 0.736, -791.14, -330.72, -147.61, -37.017, 3.767, -34.225, -32.45, 19.57, -39.71, 0.906, -0.204, 0.247, -0.277
16-41-02.181,16678, -0.195, 1.043, 0.549, -770.02, -347.93, -133.64, -37.017, 3.767, -34.225, -36.05, 17.78, -39.22, 0.901, -0.239, 0.241, -0.270
16-41-02.185,16683, -0.192, 1.100, 0.347, -721.13, -363.80, -110.08, -37.017, 3.767, -34.225, -39.35, 16.03, -38.49, 0.896, -0.272, 0.234, -0.263
16-41-02.191,16688, -0.222, 1.220, 0.119, -647.95, -379.24, -81.39, -37.017, 3.767, -34.225, -42.26, 14.36, -37.50, 0.891, -0.301, 0.225, -0.255
16-41-02.195,16693, -0.201, 1.396, -0.075, -560.19, -393.16, -44.77, -37.017, 3.767, -34.225, -44.70, 12.81, -36.26, 0.887, -0.327, 0.216, -0.246
16-41-02.201,16698, -0.273, 1.430, -0.263, -466.31, -398.65, 6.26, -37.017, 3.767, -34.225, -46.66, 11.48, -34.77, 0.884, -0.349, 0.205, -0.235
16-41-02.205,16703, -0.060, 1.499, -0.277, -350.53, -381.44, 75.78, -37.017, 3.767, -34.225, -48.04, 10.49, -33.07, 0.883, -0.365, 0.195, -0.223
16-41-02.211,16708, -0.297, 0.868, 0.081, -212.96, -337.07, 169.89, -37.017, 3.767, -34.225, -48.70, 10.05, -31.20, 0.884, -0.374, 0.187, -0.209
16-41-02.215,16713, -0.348, 0.226, 0.449, -89.05, -291.05, 270.05, -37.017, 3.767, -34.225, -48.71, 10.16, -29.17, 0.887, -0.377, 0.181, -0.193
16-41-02.221,16718, -0.513, -0.035, 0.821, 12.14, -256.32, 346.04, -37.017, 3.767, -34.225, -48.20, 10.65, -27.02, 0.893, -0.376, 0.177, -0.175
16-41-02.225,16723, -0.649, -0.153, 1.083, 67.44, -236.36, 398.22, -37.017, 3.767, -34.225, -47.37, 11.37, -24.75, 0.899, -0.371, 0.174, -0.156
16-41-02.231,16728, -0.769, -0.326, 1.243, 87.83, -240.33, 448.40, -37.017, 3.767, -34.225, -46.38, 12.22, -22.28, 0.905, -0.365, 0.172, -0.135
16-41-02.235,16733, -0.857, -0.712, 1.397, 113.64, -269.75, 493.19, -37.017, 3.767, -34.225, -45.18, 13.08, -19.52, 0.911, -0.358, 0.168, -0.112
16-41-02.241,16738, -0.867, -0.794, 1.587, 153.62, -316.50, 515.47, -37.017, 3.767, -34.225, -43.68, 13.78, -16.48, 0.918, -0.350, 0.163, -0.088
16-41-02.245,16743, -1.065, -0.831, 1.646, 166.07, -364.60, 513.34, -37.017, 3.767, -34.225, -42.05, 14.22, -13.26, 0.925, -0.340, 0.156, -0.063
16-41-02.251,16748, -1.209, -0.793, 1.501, 133.24, -408.72, 493.07, -37.017, 3.767, -34.225, -40.55, 14.35, -9.95, 0.931, -0.332, 0.147, -0.038
16-41-02.255,16753, -1.348, -0.681, 1.282, 87.64, -448.76, 469.88, -37.017, 3.767, -34.225, -39.27, 14.18, -6.60, 0.935, -0.326, 0.135, -0.012
16-41-02.261,16758, -1.369, -0.533, 1.083, 71.04, -465.30, 460.11, -37.017, 3.767, -34.225, -38.09, 13.86, -3.25, 0.939, -0.321, 0.123, 0.013
16-41-02.265,16763, -1.315, -0.227, 0.968, 62.98, -489.11, 444.00, -37.017, 3.767, -34.225, -36.97, 13.35, 0.10, 0.942, -0.315, 0.110, 0.038
16-41-02.271,16768, -1.297, -0.120, 0.953, 81.29, -494.72, 435.94, -37.017, 3.767, -34.225, -35.79, 12.72, 3.41, 0.944, -0.308, 0.096, 0.062
16-41-02.275,16773, -1.425, -0.172, 1.031, 104.55, -481.23, 444.98, -37.017, 3.767, -34.225, -34.54, 12.10, 6.70, 0.946, -0.301, 0.083, 0.087
16-41-02.281,16778, -1.619, -0.294, 1.169, 134.21, -457.92, 473.48, -37.017, 3.767, -34.225, -33.17, 11.59, 10.01, 0.947, -0.291, 0.072, 0.112
16-41-02.285,16783, -1.601, -0.629, 1.327, 160.15, -440.58, 511.51, -37.017, 3.767, -34.225, -31.69, 11.16, 13.42, 0.948, -0.281, 0.061, 0.138
16-41-02.291,16788, -1.624, -1.169, 1.453, 165.46, -430.64, 547.03, -37.017, 3.767, -34.225, -30.20, 10.77, 16.94, 0.947, -0.270, 0.051, 0.166
16-41-02.295,16793, -1.636, -1.540, 1.566, 156.43, -424.96, 568.02, -37.017, 3.767, -34.225, -28.79, 10.37, 20.51, 0.945, -0.259, 0.042, 0.194
16-41-02.301,16798, -1.634, -1.782, 1.586, 148.25, -429.90, 566.93, -37.017, 3.767, -34.225, -27.45, 9.85, 24.07, 0.942, -0.249, 0.032, 0.222
16-41-02.305,16803, -1.586, -1.955, 1.476, 132.87, -448.46, 547.46, -37.017, 3.767, -34.225, -26.25, 9.13, 27.57, 0.939, -0.238, 0.021, 0.249
16-41-02.311,16808, -1.458, -2.097, 1.337, 113.34, -474.34, 515.35, -37.017, 3.767, -34.225, -25.22, 8.15, 30.95, 0.934, -0.228, 0.009, 0.275
16-41-02.315,16813, -1.334, -2.031, 1.188, 114.80, -501.86, 471.77, -37.017, 3.767, -34.225, -24.28, 6.90, 34.17, 0.929, -0.218, -0.005, 0.299
16-41-02.321,16818, -1.197, -2.018, 1.096, 147.70, -518.47, 425.87, -37.017, 3.767, -34.225, -23.28, 5.43, 37.17, 0.924, -0.206, -0.020, 0.321
16-41-02.327,16823, -1.151, -2.275, 0.980, 179.44, -514.62, 384.92, -37.017, 3.767, -34.225, -22.22, 3.84, 39.94, 0.920, -0.192, -0.035, 0.341
16-41-02.331,16828, -1.000, -2.276, 0.947, 191.95, -494.11, 333.59, -37.017, 3.767, -34.225, -21.20, 2.19, 42.41, 0.915, -0.178, -0.049, 0.359
16-41-02.337,16833, -0.887, -2.141, 0.974, 198.36, -465.98, 275.48, -37.017, 3.767, -34.225, -20.23, 0.54, 44.52, 0.911, -0.164, -0.062, 0.374
16-41-02.341,16838, -0.817, -1.975, 1.022, 205.62, -442.84, 222.02, -37.017, 3.767, -34.225, -19.28, -1.14, 46.31, 0.907, -0.150, -0.075, 0.386
16-41-02.347,16843, -0.671, -1.898, 1.077, 219.48, -433.14, 183.44, -37.017, 3.767, -34.225, -18.30, -2.86, 47.88, 0.904, -0.135, -0.087, 0.397
16-41-02.351,16848, -0.643, -2.008, 1.074, 236.20, -432.83, 160.37, -37.017, 3.767, -34.225, -17.29, -4.64, 49.31, 0.900, -0.120, -0.099, 0.407
16-41-02.355,16853, -0.595, -2.038, 1.046, 251.22, -436.31, 143.04, -37.017, 3.767, -34.225, -16.23, -6.49, 50.64, 0.897, -0.103, -0.111, 0.415
16-41-02.361,16858, -0.549, -2.037, 0.938, 269.95, -441.74, 122.77, -37.017, 3.767, -34.225, -15.12, -8.42, 51.85, 0.893, -0.086, -0.123, 0.424
16-41-02.367,16863, -0.502, -1.995, 0.853, 283.87, -447.24, 97.87, -37.017, 3.767, -34.225, -13.95, -10.43, 52.91, 0.890, -0.068, -0.135, 0.430
16-41-02.371,16868, -0.446, -1.953, 0.740, 287.29, -450.11, 70.71, -37.017, 3.767, -34.225, -12.78, -12.50, 53.81, 0.886, -0.050, -0.147, 0.436
16-41-02.377,16873, -0.324, -2.049, 0.688, 287.47, -449.37, 43.79, -37.017, 3.767, -34.225, -11.60, -14.63, 54.54, 0.883, -0.031, -0.158, 0.441
16-41-02.381,16878, -0.285, -2.368, 0.773, 289.30, -442.66, 19.07, -37.017, 3.767, -34.225, -10.39, -16.76, 55.10, 0.880, -0.012, -0.170, 0.444
16-41-02.387,16883, -0.296, -2.203, 0.895, 295.04, -427.34, -12.30, -37.017, 3.767, -34.225, -9.10, -18.84, 55.44, 0.877, 0.007, -0.181, 0.446
16-41-02.390,16888, -0.245, -1.653, 0.925, 302.42, -413.06, -65.09, -37.017, 3.767, -34.225, -7.67, -20.90, 55.45, 0.874, 0.026, -0.191, 0.446
16-41-02.396,16893, -0.158, -1.249, 0.887, 298.70, -410.07, -124.36, -37.017, 3.767, -34.225, -6.11, -22.97, 55.08, 0.873, 0.046, -0.200, 0.443
16-41-02.400,16898, -0.078, -1.170, 0.911, 288.94, -409.52, -161.04, -37.017, 3.767, -34.225, -4.47, -25.05, 54.45, 0.871, 0.065, -0.210, 0.439
16-41-02.406,16903, -0.010, -1.408, 1.083, 288.88, -400.85, -170.75, -37.017, 3.767, -34.225, -2.76, -27.07, 53.68, 0.870, 0.085, -0.219, 0.434
16-41-02.410,16908, -0.011, -1.778, 1.327, 300.84, -385.84, -170.01, -37.017, 3.767, -34.225, -0.93, -29.00, 52.83, 0.868, 0.104, -0.228, 0.429
16-41-02.416,16913, -0.110, -2.015, 1.563, 321.77, -373.81, -176.36, -37.017, 3.767, -34.225, 1.09, -30.83, 51.85, 0.866, 0.124, -0.235, 0.424
16-41-02.420,16918, -0.394, -2.101, 1.733, 348.32, -376.13, -198.70, -37.017, 3.767, -34.225, 3.40, -32.62, 50.65, 0.864, 0.146, -0.242, 0.418
16-41-02.426,16923, -0.210, -2.043, 1.713, 373.71, -405.00, -238.31, -37.017, 3.767, -34.225, 6.06, -34.50, 49.08, 0.861, 0.169, -0.248, 0.410
16-41-02.430,16928, -0.449, -1.704, 1.650, 400.94, -453.89, -288.36, -37.017, 3.767, -34.225, 9.20, -36.51, 47.02, 0.858, 0.194, -0.256, 0.401
16-41-02.436,16933, -0.576, -1.493, 1.446, 429.74, -500.83, -333.40, -37.017, 3.767, -34.225, 12.87, -38.59, 44.41, 0.854, 0.222, -0.264, 0.389
16-41-02.440,16938, -0.738, -1.312, 1.228, 464.53, -543.18, -363.25, -37.017, 3.767, -34.225, 17.12, -40.69, 41.29, 0.849, 0.252, -0.272, 0.375
16-41-02.446,16943, -0.823, -1.338, 0.979, 503.47, -583.22, -380.71, -37.017, 3.767, -34.225, 21.99, -42.75, 37.66, 0.843, 0.284, -0.281, 0.361
16-41-02.450,16948, -0.919, -1.387, 0.744, 542.60, -621.00, -390.53, -37.017, 3.767, -34.225, 27.53, -44.71, 33.49, 0.834, 0.317, -0.290, 0.345
16-41-02.456,16953, -1.004, -1.447, 0.399, 586.67, -655.18, -396.39, -37.017, 3.767, -34.225, 33.80, -46.49, 28.75, 0.823, 0.352, -0.300, 0.329
16-41-02.460,16958, -1.085, -1.363, 0.040, 631.77, -683.63, -402.68, -37.017, 3.767, -34.225, 40.84, -47.99, 23.40, 0.810, 0.389, -0.309, 0.313
16-41-02.466,16963, -1.081, -1.305, -0.322, 675.29, -708.04, -407.44, -37.017, 3.767, -34.225, 48.62, -49.08, 17.50, 0.793, 0.428, -0.317, 0.295
16-41-02.470,16968, -1.018, -1.574, -0.784, 707.09, -726.78, -406.59, -37.017, 3.767, -34.225, 56.95, -49.69, 11.18, 0.774, 0.467, -0.325, 0.277
16-41-02.476,16973, -0.978, -1.588, -1.243, 735.23, -725.98, -409.64, -37.017, 3.767, -34.225, 65.57, -49.68, 4.71, 0.753, 0.505, -0.333, 0.259
16-41-02.483,16978, -1.018, -1.642, -1.538, 759.46, -695.16, -427.03, -37.017, 3.767, -34.225, 74.08, -48.91, -1.47, 0.730, 0.544, -0.337, 0.240
16-41-02.485,16983, -0.969, -1.565, -1.775, 755.61, -651.22, -453.89, -37.017, 3.767, -34.225, 82.04, -47.39, -7.02, 0.706, 0.581, -0.339, 0.221
16-41-02.491,16988, -0.918, -1.510, -2.004, 741.08, -604.22, -480.56, -37.017, 3.767, -34.225, 89.21, -45.25, -11.73, 0.681, 0.617, -0.339, 0.202
16-41-02.495,16993, -0.894, -1.346, -2.224, 726.50, -552.16, -503.81, -37.017, 3.767, -34.225, 95.52, -42.62, -15.50, 0.657, 0.650, -0.335, 0.182
16-41-02.501,16998, -0.804, -1.079, -2.226, 711.48, -490.02, -528.17, -37.017, 3.767, -34.225, 101.00, -39.65, -18.30, 0.632, 0.682, -0.328, 0.163
16-41-02.505,17003, -0.801, -0.810, -2.027, 702.27, -420.87, -549.35, -37.017, 3.767, -34.225, 105.74, -36.47, -20.17, 0.608, 0.712, -0.319, 0.145
16-41-02.511,17008, -0.836, -0.626, -1.830, 702.08, -361.24, -559.97, -37.017, 3.767, -34.225, 109.97, -33.22, -21.28, 0.584, 0.741, -0.306, 0.129
16-41-02.515,17013, -0.902, -0.281, -1.759, 696.71, -324.98, -564.12, -37.017, 3.767, -34.225, 113.84, -29.94, -21.87, 0.559, 0.768, -0.292, 0.112
16-41-02.521,17018, -0.835, 0.005, -1.856, 677.36, -311.62, -566.25, -37.017, 3.767, -34.225, 117.42, -26.66, -22.12, 0.534, 0.793, -0.277, 0.096
16-41-02.525,17023, -0.829, 0.237, -2.005, 646.30, -311.25, -562.35, -37.017, 3.767, -34.225, 120.74, -23.39, -22.15, 0.509, 0.816, -0.262, 0.080
16-41-02.531,17028, -0.693, 0.296, -2.295, 611.45, -311.80, -549.35, -37.017, 3.767, -34.225, 123.82, -20.18, -22.02, 0.485, 0.837, -0.247, 0.063
16-41-02.535,17033, -0.641, 0.389, -2.606, 568.84, -297.33, -532.93, -37.017, 3.767, -34.225, 126.63, -17.10, -21.71, 0.461, 0.855, -0.232, 0.047
16-41-02.541,17038, -0.509, 0.499, -2.843, 511.35, -256.69, -517.67, -37.017, 3.767, -34.225, 129.10, -14.23, -21.13, 0.440, 0.871, -0.217, 0.032
16-41-02.545,17043, -0.537, 0.649, -2.801, 443.78, -188.94, -499.48, -37.017, 3.767, -34.225, 131.17, -11.68, -20.23, 0.421, 0.884, -0.201, 0.019
16-41-02.551,17048, -0.508, 0.707, -2.478, 369.01, -108.25, -476.04, -37.017, 3.767, -34.225, 132.85, -9.51, -19.03, 0.406, 0.895, -0.184, 0.009
16-41-02.555,17053, -0.435, 0.637, -2.124, 272.82, -33.60, -452.97, -37.017, 3.767, -34.225, 134.05, -7.72, -17.59, 0.394, 0.904, -0.166, 0.002
16-41-02.561,17058, -0.319, 0.725, -1.538, 172.85, 27.19, -435.64, -37.017, 3.767, -34.225, 134.75, -6.23, -15.96, 0.387, 0.910, -0.149, -0.004
