Time,ID,AccX(G), AccY, AccZ,GyrX(dps), GyrY, GyrZ,MagX(uT), MagY, MagZ,Roll(deg), Pitch, Yaw,Pressure
13-55-42.635,1,0.052,-0.011,1.006,0,-0.1,0,18.6,-27.2,-26.8,-0.5,-2.76,0,0
13-55-42.639,1,0.056,-0.011,1.006,0,-0.1,0,18.3,-27.2,-27.5,-0.5,-2.76,0,0
13-55-42.644,1,0.049,-0.011,1.01,0,0,0.1,18.3,-27.2,-27.5,-0.5,-2.76,0,0
13-55-42.649,1,0.053,-0.015,1.014,0.1,0.1,0,17.9,-27.5,-27.1,-0.5,-2.76,0,0
13-55-42.655,1,0.053,-0.007,1.01,0.1,0,-0.1,17.9,-27.5,-27.1,-0.5,-2.76,0,0
13-55-42.658,1,0.045,-0.011,1.006,0,-0.2,-0.1,18,-27.3,-27.4,-0.5,-2.77,0,0
13-55-42.664,1,0.045,-0.007,1.01,-0.1,-0.1,0,18,-27.3,-27.4,-0.5,-2.77,0,0
13-55-42.668,1,0.045,-0.011,1.017,-0.1,-0.1,0,18.3,-27.2,-26.9,-0.5,-2.77,0,0
13-55-42.673,1,0.045,-0.003,1.01,0,0.1,0,18.3,-27.2,-26.9,-0.5,-2.77,0,0
13-55-42.679,1,0.049,-0.003,1.014,0,0.3,0,18.2,-27.5,-27.1,-0.5,-2.76,0,0
13-55-42.684,1,0.045,-0.011,1.013,0,0.2,0,18.2,-27.5,-27.1,-0.5,-2.76,0,0
13-55-42.690,1,0.045,-0.007,1.006,-0.1,0.1,0,18.2,-27.5,-27.2,-0.5,-2.76,0,0
13-55-42.694,1,0.045,0,1.002,0,0.1,0,18.2,-27.5,-27.2,-0.5,-2.76,0,0
13-55-42.699,1,0.049,-0.007,1.006,0,0,0,18.4,-27.4,-27.3,-0.5,-2.76,0,0
13-55-42.704,1,0.052,-0.007,1.006,0,0,0,18.4,-27.4,-27.3,-0.5,-2.75,0,0
13-55-42.709,1,0.049,-0.003,1.01,0.1,0,0,18.2,-27.2,-27.2,-0.5,-2.75,0,0
13-55-42.716,1,0.049,-0.003,1.01,0,-0.1,0,18.2,-27.2,-27.2,-0.5,-2.75,0,0
13-55-42.719,1,0.049,-0.003,1.01,0,-0.2,0,18.1,-27.4,-27.3,-0.5,-2.76,0,0
13-55-42.724,1,0.049,-0.007,1.01,0,-0.1,0,18.1,-27.4,-27.3,-0.49,-2.76,0,0
13-55-42.730,1,0.053,-0.007,1.01,-0.1,0,0,18.6,-27.3,-26.9,-0.49,-2.76,0,0
13-55-42.734,1,0.045,-0.007,1.006,-0.1,0.1,0,18.6,-27.3,-26.9,-0.49,-2.76,0,0
13-55-42.739,1,0.052,-0.015,1.006,0,0,-0.2,18.2,-27.2,-27.1,-0.49,-2.76,0,0
13-55-42.744,1,0.045,-0.007,1.013,0,0,-0.2,18.2,-27.2,-27.1,-0.49,-2.76,0,0
13-55-42.749,1,0.053,-0.011,1.01,0,0,0,18.1,-27.4,-27.2,-0.49,-2.76,0,0
13-55-42.754,1,0.045,-0.011,1.013,-0.1,0,0,18.1,-27.4,-27.2,-0.49,-2.76,0,0
13-55-42.759,1,0.045,-0.015,1.006,0,0,0,18.3,-27.5,-27.1,-0.49,-2.76,0,0
13-55-42.765,1,0.048,-0.011,1.002,0,0,0,18.3,-27.5,-27.1,-0.5,-2.76,0,0
13-55-42.769,1,0.049,-0.011,1.01,0,0,0,17.6,-27.7,-27.4,-0.49,-2.76,0,0
13-55-42.774,1,0.045,-0.015,1.006,0,0,0,17.6,-27.7,-27.4,-0.5,-2.76,0,0
13-55-42.780,1,0.052,-0.015,1.01,0,-0.1,0,18.1,-27.6,-27.5,-0.5,-2.76,0,0
13-55-42.784,1,0.049,-0.011,1.006,0,0,0,18.1,-27.6,-27.5,-0.5,-2.75,0,0
13-55-42.790,1,0.049,-0.015,1.01,0,0.1,0,18.4,-27.5,-27.3,-0.5,-2.75,0,0
13-55-42.795,1,0.045,-0.015,1.017,0,0,0,18.4,-27.5,-27.3,-0.5,-2.75,0,0
13-55-42.799,1,0.049,-0.011,1.01,0.1,0,0.2,18.3,-27.3,-27.4,-0.5,-2.75,0,0
13-55-42.805,1,0.052,-0.007,1.002,0,-0.1,0.1,18.3,-27.3,-27.4,-0.5,-2.75,0,0
13-55-42.809,1,0.053,-0.011,1.014,0,0,0,18.2,-27.5,-27.1,-0.51,-2.75,0,0
13-55-42.814,1,0.049,-0.011,1.014,0,0.2,0.1,18.2,-27.5,-27.1,-0.51,-2.76,0,0
13-55-42.818,1,0.057,-0.003,1.014,-0.1,0.1,0,18.2,-27.5,-27.4,-0.51,-2.75,0,0
13-55-42.824,1,0.053,-0.011,1.01,0,0.1,0,18.2,-27.5,-27.4,-0.51,-2.76,0,0
13-55-42.829,1,0.053,-0.011,1.01,0,0,0,18.5,-27.3,-26.8,-0.51,-2.76,0,0
13-55-42.835,1,0.045,-0.007,1.01,-0.1,-0.1,-0.1,18.5,-27.3,-26.8,-0.51,-2.76,0,0
13-55-42.839,1,0.041,0,1.013,0,0.1,0,18.3,-27.2,-27.4,-0.51,-2.76,0,0
13-55-42.844,1,0.045,-0.007,1.006,0,0.3,0,18.3,-27.2,-27.4,-0.51,-2.76,0,0
13-55-42.849,1,0.045,-0.003,1.01,-0.1,0,0,18.6,-27.6,-27,-0.51,-2.76,0,0
13-55-42.855,1,0.045,-0.007,1.006,-0.1,-0.1,0,18.6,-27.6,-27,-0.5,-2.76,0,0
13-55-42.860,1,0.045,-0.007,1.01,0,-0.2,0,18.5,-27.3,-26.8,-0.5,-2.76,0,0
13-55-42.865,1,0.045,-0.007,1.013,0,0,0,18.5,-27.3,-26.8,-0.5,-2.76,0,0
13-55-42.870,1,0.045,-0.011,1.017,0,0,0,18.4,-27.1,-26.9,-0.5,-2.76,0,0
13-55-42.876,1,0.045,-0.007,1.01,0,0,0,18.4,-27.1,-26.9,-0.5,-2.75,0,0
13-55-42.880,1,0.045,-0.003,1.006,0,0,-0.1,18.3,-26.7,-27.1,-0.5,-2.75,0,0
13-55-42.884,1,0.049,-0.011,1.01,0,0,0,18.3,-26.7,-27.1,-0.5,-2.75,0,0
13-55-42.890,1,0.048,-0.011,1.002,0,0,0,18.5,-27.4,-27.2,-0.5,-2.75,0,0
13-55-42.894,1,0.049,-0.011,1.014,0,0,0,18.5,-27.4,-27.2,-0.5,-2.75,0,0
13-55-42.900,1,0.045,-0.011,1.01,0,-0.1,0,18.3,-27,-27.2,-0.5,-2.75,0,0
13-55-42.904,1,0.049,-0.007,1.01,0,-0.1,0,18.3,-27,-27.2,-0.5,-2.75,0,0
13-55-42.910,1,0.049,-0.007,1.01,-0.1,0.1,0,18.3,-27.4,-27.1,-0.5,-2.75,0,0
13-55-42.915,1,0.045,-0.007,1.01,0,0.1,0,18.3,-27.4,-27.1,-0.5,-2.75,0,0
13-55-42.919,1,0.045,-0.011,1.013,0,0,0,18.2,-27.3,-27.3,-0.5,-2.75,0,0
13-55-42.925,1,0.049,-0.007,1.006,0,0.1,0,18.2,-27.3,-27.3,-0.5,-2.75,0,0
13-55-42.929,1,0.045,-0.007,1.002,0,0,0,18,-27,-27.1,-0.5,-2.75,0,0
13-55-42.934,1,0.045,-0.011,1.017,0,-0.1,-0.3,18,-27,-27.1,-0.5,-2.75,0,0
13-55-42.938,1,0.049,-0.015,1.017,0,0.1,-0.1,18.5,-27.2,-27,-0.5,-2.75,0,0
13-55-42.945,1,0.045,-0.011,1.01,0,0.1,0,18.5,-27.2,-27,-0.5,-2.75,0,0
13-55-42.949,1,0.049,-0.011,1.006,0,-0.1,0,17.9,-27.2,-27.4,-0.5,-2.75,0,0
